Date,Description,Amount
2026-01-02,Zomato Order - Biryani,320
2026-01-03,Amazon Purchase - Headphones,1499
2026-01-04,Uber Ride to College,85
2026-01-05,Udemy Python Course,499
2026-01-06,Netflix Subscription,199
2026-01-07,Blinkit Grocery Order,645
2026-01-08,Airtel Mobile Recharge,299
2026-01-09,ATM Withdrawal,2000
2026-01-10,Swiggy Food Order,275
2026-01-11,Apollo Pharmacy,380
2026-01-12,Ola Cab Ride,120
2026-01-13,Flipkart Shopping,899
2026-01-14,Zomato Order - Pizza,450
2026-01-15,Petrol Station,600
2026-01-16,College Fees Payment,5000
2026-01-17,PVR Cinema Ticket,250
2026-01-18,BigBasket Grocery,820
2026-01-19,Uber Ride,95
2026-01-20,Electricity Bill,750
2026-01-21,Rent Payment,6000
2026-01-22,Swiggy Order,310
2026-01-23,Amazon Shopping,1200
2026-01-24,Spotify Premium,119
2026-01-25,Rapido Bike Ride,45
2026-01-26,Zepto Groceries,390
2026-01-27,Restaurant Dinner,680
2026-01-28,UPI Transfer to Friend,500
2026-01-29,Medplus Pharmacy,215
2026-01-30,Jio Broadband Bill,399
